Descricao,Codigo,RET,Validade_RET,IA
SAGITARIUS,,,,CLETODIM 24%
ACCION PLUS 35,,,,IMIDACLOPRID 35%
SPEED,,,,HALOXIFOP-METIL 10.8%
LONGER,,,,TEBUCONAZOL 43%
AGROQUAT,,,,PARAQUAT 24%
AZOXYSTROBIN 20% + TEBUCONAZOLE 20% SC SHARPAR,,,,AZOXYSTROBIN 20% + TEBUCONAZOLE 20%
EXCELENT 800 WG ,,,,FIPRONIL 80%
PALPIT 200 SC,,,,FIPRONIL 20%
POINT,,,,LUFENURON 5%
CIPROCONAZOLE TECNICO,,,,CYPROCONAZOLE 95%
HURLER,,,,CYPROCONAZOLE 10%
BLINDADO 5 EC,,,,LUFENURON 5%
LUFENURON TECNICO,,,,LUFENURON 95%
AMISTAR TOP,,,,DIFENOCONAZOLE 12.5% + AZOXYSTROBIN 20%
VERTIMEC 8.4 SC,,,,ABAMECTINA 8.4%
ASSA OLEO VEGETAL,,,,ACEITE VEGETAL 93%
ORTHON 75,,,,ACEFATO 75%
ACEFATO GRADO TECNICO,,,,ACEFATO 97%
METOMYL TECNICO,,,,METOMIL 98%
SPARKE,,,,CLODINAFOP PROPARGILICO 24%
DEFENSOR,,,,METOMIL 90%
HURANO 60,,,,IMIDACLOPRID 60%
 TECNUP PREMIUM,,,,GLIFOSATO 62%
BETHAMAX ,,,,BETA CIFLUTRIN 1.24% + IMIDACLOPRID 10%
CORAZA 5 SC,,,,LAMBDACIALOTRINA 5%
YNOX,,,,AZOXYSTROBIN 25%
AGROQUAT,,,,PARAQUAT 24%
LONGER,,,,TEBUCONAZOLE 43%
DINAMIC,,,,AMICARBAZON 70%
VOLT,,,,CLODINAFOP-PROPARGILICO 24%
THIODICURE,,,,THIODICARB 80%
THIODICARB TECNICO,,,,THIODICARB 96%
JUDO 5 EC,,,,LAMBDACIALOTRINA 5%
XPRESS 50 WG,,,,AZOXYSTROBIN 50%
AVALON,,,,"2.4-D AMINA 72%"
GREEN POWER,,,,FLUTRIAFOL 25% + AZOXYSTROBIN 20%
KILLER,,,,METOMIL 90%
METOMYL TECNICO 95%,,,,METOMIL 95%
AXEL,,,,TEBUCONAZOLE 43%
BARAO,,,,CYPROCONAZOLE 10%
GAMA 37.5 FS GLYMAX,,,,THIODICARB 37.5%
AGERA 50 SC,,,,AZOXYSTROBIN 50%
AGERA 80 WG,,,,AZOXYSTROBIN 80%
NIMAX 75 WG,,,,NICOSULFURON 75%
TEBUCUR 25 EC,,,,TEBUCONAZOLE 25%
HELMOXONE 20 SL,,,,PARAQUAT 27.6%
AXION 43 SC,,,,TEBUCONAZOL 43%
FLYER,,,,FLUTRIAFOL 50%
FLUTRIAFOL TECNICO,,,,FLUTRIAFOL 96%
LAMBDACIALOTRINA 98%,,,,LAMBDACIALOTRINA 98%
THIRAM 95 %,,,,THIRAM 95%
FIPRONIL 20% SC SHARPAR,,,,FIPRONIL 20%
PULSAR,,,,LAMBDACIALOTRINA 5%
KUMBO 750 WP,,,,THIODICARB 75%
GLYPHOTAL,,,,GLIFOSATO ( SAL ISOPROPILAMINA) 48%
QUARTZO,,,,AZOXYSTROBIN 20% + TEBUCONAZOLE 20%
DRAGO,,,,PARAQUAT 24%
ABACMETINA 1.8% EC SHARPAR,,,,ABAMECTINA 1.8%
FIPROMAXX,,,,FIPRONIL 80%
HURANO 70,,,,IMIDACLOPRID 70%
QUASAR,,,,AMETRINA 50%
ATAQUE,,,,LAMBDACIALOTRINA 10.6% + TIAMETOXAM 14.1%
SECTOR 304 SL,,,,"2.4-D 24% + PICLORAM 6.4%"
AZOXYSTROBIN 20% + CYPROCONAZOLE 8% SC SHARPAR,,,,CYPROCONAZOLE 8% + AZOXYSTROBIN 20%
FOMESAFEN TECNICO,,,,FOMESAFEN 98.2%
PARAQUAT TECNICO,,,,PARAQUAT 42%
FIPRONIL 80 WP GLYMAX,,,,FIPRONIL 80%
SIMAZINA 50 SC GLYMAX,,,,SIMAZINA 50%
POWER EXTRA,,,,CYPROCONAZOLE 12% + AZOXYSTROBIN 20%
CIPROCONAZOLE TECNICO,,,,CYPROCONAZOLE 95%
FACTOR 60 SC,,,,IMIDACLOPRID 60%
IMIDACLOPRID TECNICO ,,,,IMIDACLOPRID 97%
CARBENDAZIM TECNICO,,,,CARBENDAZIM 98%
WISE UP,,,,GLIFOSATO 48%
ERRADICANT,,,,FLUTRIAFOL 25% + AZOXYSTROBIN 20%
FERRUS,,,,LAMBDACIALOTRINA 5%
Proter 250®,,,,TEBUCONAZOL 25%
AXION 25 SC,,,,TEBUCONAZOLE 25%
IMIDACLOPRID 10.5% + THIODICARB 30% SC,,,,THIODICARB 30% + IMIDACLOPRID 10.5%
DIFECONAZOLE 25 EC SHARPAR,,,,DIFENOCONAZOLE 25%
RADAR LPU,,,,QUIZALOFOP-P-ETIL 1.8%
HORMONA 720®,,,,"2.4-D 72%"
ASSIST,,,,ACEITE MINERAL PARAFÍNICO 75.6%
GLADIADOR PLUS,,,,PROFENOFOS 50% + LUFENURON 5%
DIAMANTE 25 SC,,,,AZOXYSTROBIN 25%
TRIAFOL 25,,,,FLUTRIAFOL 25%
METSULFURON 60,,,,METSULFURON METIL 60%
AZAMAX,,,,AZADIRACHTIN 1.2%
TOPACIO ,,,,METOMIL 90%
MAYOR 25,,,,FIPRONIL 25%
FIPRONIL TECNICO,,,,FIPRONIL 95%
THIODICARB TECNICO,,,,THIODICARB 95%
SPHERE MAX,,,,CYPROCONAZOLE 16% + TRIFLOXISTROBIN 37.5%
FISIOS,,,,LUFENURON 5%
ACCION PLUS 35,,,,IMIDACLOPRID 35%
LONGER,,,,TEBUCONAZOLE 43%
DIFLUBENZUROM 98%,,,,DIFLUBENZURON 98%
LAMBDACIALOTRINA TECNICO,,,,LAMBDACIALOTRINA 98%
FLUTRIAFOL GT,,,,FLUTRIAFOL 97%
LEGION 100 EC,,,,NOVALURON 10%
FIPRONIL 80% WG SHARPAR,,,,FIPRONIL 80%
CENSOR 720 SL,,,,"2.4-D 72%"
FUEL,,,,"2.4-D AMINA 80.6%"
CARBIN 80 WP,,,,CARBENDAZIM 80%
CLORIMURON ETIL 96%,,,,CLORIMURON ETIL 96%
HERCULES,,,,GLUFOSINATO DE AMONIO 20%
GLUFOSINATO DE AMONIO 95%,,,,GLUFOSINATO DE AMONIO 95%
ARES,,,,"2.4-D AMINA 72%"
BENTAZONE 48 % SL SHARPAR,,,,BENTAZON 48%
PRIUS SC ,,,,LAMBDACIALOTRINA 10.6% + TIAMETOXAM 14.1%
FOMESAFEN 25 %,,,,FOMESAFEN 25%
SEGURO,,,,FIPRONIL 25%
"2.4D 24% + PICLORAM 6.4 % SL SHARPAR",,,,"2.4-D AMINA 24% + PICLORAM 6.4%"
THIAMEX SEED,,,,TIAMETOXAM 35%
NICOSULFURON GRADO TECNICO,,,,NICOSULFURON 95%
CEBADILLA,,,,NICOSULFURON 75%
RUNNER,,,,PICLORAM 24%
CASTOR,,,,ATRAZINA 90%
FORCE PREMIUM,,,,CIPROCONAZOL 12% + AZOXISTROBINA 20%
EVEREST 70 WG,,,,FLUCARBAZONA DE SODIO 70%
ACAFIN PLUS,,,,TETRADIFON 7.5% + DICOFOL 21%
RAZANTE,,,,PARAQUAT 24%
PARAQUAT 42%,,,,PARAQUAT 42%
AGRIS SUPER,,,,LAMBDACIALOTRINA 10%
AZOXYSTROBIN 95 %,,,,AZOXYSTROBIN 95%
ACEFATO 97%,,,,ACEFATO 97%
ACEFATO TECNOMYL 90 SG ,,,,ACEFATO 90%
SHERIF 500 SC,,,,CARBENDAZIM 15% + THIRAM 35%
AVANTI 500 SC,,,,ATRAZINA 50%
LANCE 900 WG,,,,ATRAZINA 90%
POKER 75 WG,,,,CLORIMURON ETIL 75%
IPPON 35 SC,,,,IMIDACLOPRID 35%
LAMBDAFUR 5 SC,,,,LAMBDACIALOTRINA 5%
CARBOXIN 20%+ THIRAN 20% SC SHARPAR,,,,THIRAM 20% + CARBOXIN 20%
TEFLUMAX,,,,TEFLUBENZURON 15%
BARON 25 SC,,,,FIPRONIL 25%
VIPER 35 SC,,,,THIODICARB 35%
AZOXISTROBINA 25 SC,,,,AZOXYSTROBIN 25%
FULL SPEED,,,,SPINOSAD 48%
MATADOR FS,,,,IMIDACLOPRID 18% + TIODICARB 24%
DALILA,,,,NICOSULFURON 75%
THIODICARB TECNICO,,,,THIODICARB 95%
SPINOSAD TECNICO,,,,SPINOSAD 95%
AZOXYSTROBIN TECNICO,,,,AZOXYSTROBIN 96%
SPRINTER 240 EC,,,,CLETODIM 24%
THIODICURE SEED,,,,THIODICARB 45% + IMIDACLOPRID 15%
MAXION 700 WP,,,,IMAZETAPYR 70%
SPEED,,,,HALOXIFOP - P - METIL 10.8%
AVENGER 97 WP,,,,ACEFATO 97%
TIAMETOXAN TECNICO,,,,TIAMETOXAM 95%
SMACKER,,,,TIAMETOXAM 35%
ASTUTO,,,,LAMDBACYALOTRHIN 10.6% + TIAMETOXAM 14.1%
FIPRONIL TECNICO,,,,FIPRONIL 95%
AZOXISTROBINA TECNICO,,,,AZOXYSTROBIN 95%
CIPROCONAZOLE TECNICO,,,,CYPROCONAZOLE 95%
CLETODIM TECNICO,,,,CLETODIM 36%
THIRAM TECNICO,,,,THIRAM 95%
DYNAMITE,,,,DICAMBA 57.8%
RENOVA,,,,TIAMETOXAM 25%
DICAMBA TECNICO ,,,,DICAMBA 98%
IPPON 60 SC,,,,IMIDACLOPRID 60%
GLIFOSATO TECNICO,,,,GLIFOSATO 95%
COMBAT 900 SP,,,,METOMIL 90%
GARRA 320 SC,,,,CYPROCONAZOLE 12% + AZOXYSTROBIN 20%
ATTACK 750 WP,,,,TEFLUBENZURON 75%
EKOS 80 WDG,,,,FIPRONIL 80%
DELTRAMETRINA TECNICO,,,,DELTAMETRINA 98%
CARBOXIM TECNICO,,,,CARBOXIN 98%
CARBENDAZIM TECNICO,,,,CARBENDAZIM 98%
CIRCON,,,,CARBENDAZIM 50%
TEFLU 30 WP,,,,TEFLUBENZURON 30%
YNOX PLENO,,,,CYPROCONAZOLE 12% + AZOXYSTROBIN 20%
YNOX PLUS,,,,TEBUCONAZOL 20% + AZOXYSTROBIN 20%
SAGITARIUS,,,,CLETODIM 24%
METOMYL 90 SP,,,,METOMIL 90%
BIOGARD 70 WS,,,,IMIDACLOPRID 70%
TOKA ,,,,FOMESAFEN 25%
FENIX,,,,CARBENDAZIM 50%
RANGER 48 SL,,,,GLIFOSATO 48%
FURACAO 48 EC,,,,CLORPIRIFOS 48%
METOMAX 70,,,,TIAMETOXAM 70%
TAURA 37.5 SC,,,,THIODICARB 37.5%
TAURA 75 WP,,,,THIODICARB 75%
GRAMI GOLD 96 EC,,,,METOLACLOR 96%
HALOXIFOP METHYL 10.8 GLYMAX,,,,HALOXYFOP - R - METHYL 10.8%
RANGER 75.7 SG,,,,GLIFOSATO SAL AMONIO 75.7%
BRISA 48 SC,,,,DIFLUBENZURON 48%
PRIMUS 25 SC,,,,PIRAZOSULFURON 25%
TRITON 75 SP,,,,ACEFATO 75%
PIRAZOSULFURON TECNICO,,,,PIRAZOSULFURON 95%
DIURON TECNICO,,,,DIURON 97%
AZOXYSTROBIN TECNICO,,,,AZOXYSTROBIN 95%
BISPYRICE 40 SC,,,,BISPYRIBAC SODIUM 40%
GRAMURON,,,,DIURON 10% + PARAQUAT 20%
ESTRELLA 60 SC,,,,THIODICARB 45% + IMIDACLOPRID 15%
LAMBDACIALOTRINA 25 EW,,,,LAMBDACIALOTRINA 25%
GLITRA PRESTIGE,,,,GLIFOSATO 66.2%
GLUFOSINATO TECNICO ,,,,GLUFOSINATO DE AMONIO 95%
BACK - OFF,,,,DICLOSULAM 84%
DRY OFF,,,,GLUFOSINATO DE AMONIO 20%
IMPLACABLE,,,,PROFENOFOS 50% + LUFENURON 5%
AZOXISTROBIN 50 WDG,,,,AZOXYSTROBIN 50%
AZOXYSTROBIN 25 SC,,,,AZOXYSTROBIN 25%
AVC 1.8 EC,,,,ABAMECTINA 1.8%
CERCO 24% EC,,,,CLETODIM 24%
ACEFATO 75 SP,,,,ACEFATO 75%
METSY,,,,METSULFURON METIL 20%
ADAMA ESSENTIALS SECAFOL,,,,PARAQUAT 20%
AZO+T-BU SC 20:20,,,,AZOXYSTROBIN 20% + TEBUCONAZOLE 20%
DRAKE 240 EC,,,,CLETODIM 24%
CORSAIR 280 SC,,,,CYPROCONAZOLE 8% + AZOXYSTROBIN 20%
MARQUESA 430 SC,,,,TEBUCONAZOLE 43%
FIPRONIL + LAMBDACIALOTRINA 35 SC,,,,LAMBDACIALOTRINA 10% + FIPRONIL 25%
MANTHUS,,,,IMAZETAPYR 3% + GLIFOSATO 17.78%
DIFLUBENZURON TECNICO ,,,,DIFLUBENZURON 97%
CIRCON PLUS,,,,CARBENDAZIM 15% + THIRAM 35%
BLOCKER SC,,,,LAMBDACIALOTRINA 6% + IMIDACLOPRID 42%
DIQUAT 20 SL,,,,DIQUAT 20%
FISIOS,,,,LUFENURON 5%
METEORO,,,,FLUTRIAFOL 25% + AZOXYSTROBIN 25%
SIMEX 1.8%,,,,ABAMECTINA 1.8%
KIDAN 276 SL,,,,PARAQUAT 27.6%
TEBUCONAZOLE TECNICO,,,,TEBUCONAZOLE 98%
LUFENURON TECNICO,,,,LUFENURON 98%
CIPROCONAZOLE TECNICO,,,,CYPROCONAZOLE 95%
SPIKE 10 EC,,,,FLUFENOXURON 10%
TEBUCONAZOLE TECNICO,,,,TEBUCONAZOLE 98%
METRALLA 20 SL,,,,METOMIL 20%
FLUFENOXURON TECNICO,,,,FLUFENOXURON 95%
DITOX 50 SC,,,,DIURON 50%
CIPROCONAZOL 95%,,,,CIPROCONAZOL 95%
ABAMECTINA TECNICO,,,,ABAMECTINA 95%
TEBUCONAZOLE 43% SC SHARPAR,,,,TEBUCONAZOLE 43%
TOUAREG 90 WG,,,,ATRAZINA 90%
SHEIK 48 EC,,,,CLORPIRIFOS 48%
MAGNO 75 SP ,,,,ACEFATO 75%
NOMADE MAX,,,,DIFLUBENZURON 75%
THIAMETOXAN 25% WG,,,,TIAMETOXAM 25%
ANUBIS 700 WG,,,,IMIDACLOPRID 70%
IMIDACLOPRID TECNICO,,,,IMIDACLOPRID 98%
SULFENTRAZONE TECNICO,,,,SULFENTRAZONE 95%
BOREAL 50 SC,,,,SULFENTRAZONE 50%
NOVALURON 10 EC,,,,NOVALURON 10%
KEEPER,,,,GLUFOSINATO DE AMONIO 20%
PENDIMETHALIN 40% SC SHARPAR,,,,PENDIMETALIN 40%
TAURUM,,,,"2.4-D 24% + PICLORAM 6.41%"
PANZER GOLD ,,,,GLIFOSATO 60.8%
GRAMITE,,,,CLOMAZONE 50%
TOPAZIO 50 SC,,,,TIOFANATO METHYL 50%
OXYFLUORFEN 80% WP SHARPAR,,,,OXIFLUORFEN 80%
DIQUAT TECNICO,,,,DIQUAT 40%
BROMUS 20 SL,,,,DIQUAT 20%
DIFLUBENZURON 70% WP SHARPAR,,,,DIFLUBENZURON 70%
VENTUM PLUS,,,,AZOXYSTROBIN 20% + TEBUCONAZOLE 12.5%
IPPON MAX,,,,IMIDACLOPRID 35% + FIPRONIL 15%
AMECTIN 18 EC,,,,ABAMECTINA 1.8%
DIFENOCONAZOLE TECNICO,,,,DIFENOCONAZOLE 95%
BIFENTRIN TECNICO,,,,BIFENTRIN 96%
KCIQUE 60 FOLIAR,,,,IMIDACLOPRID 60%
LATIGO,,,,FLUTRIAFOL 12.5%
PROFENOFOS TECNICO,,,,PROFENOFOS 89%
CARBOSULFAN 40% SC SHARPAR,,,,CARBOSULFAN 40%
TEBUCONAZOLE 20% EC SHARPAR,,,,TEBUCONAZOLE 20%
Muru 240®,,,,PICLORAM 24%
Bomber 350®,,,,IMIDACLOPRID 35%
HALOXIFOP-P- METIL TECNICO,,,,HALOXIFOP - P - METIL 94%
DIAMANTE MAX,,,,CYPROCONAZOLE 12% + AZOXYSTROBIN 20%
ECO BT,,,,BACILLUS THURINGIENSIS 6.4%
P.H. CUATRO,,,,ACIDO FOSFORICO 75%
F-GAS,,,,FOSFINA GASEOSA 97%
ACEITE MINERAL AKTRA,,,,ACEITE MINERAL PARAFÍNICO 80%
INSECTO GUARD,,,,Tierra de Diatomea 100%
I-CURAFRUTAL LV,,,,ACEITE MINERAL 83.03%
ACAROSPRAY COA,,,,ACEITE MINERAL 79.89%
SOLY OIL VEGETAL,,,,ACEITE VEGETAL 82.46%
MAX FIX,,,,ACEITE VEGETAL 98.5%
NITRAGIN BIOPOWER,,,,AZUCARES 41.5% + ACEITE VEGETAL 50%
OLEO TEC,,,,ACEITE VEGETAL 93%
BOVEMAX (EC),,,,HONGO BEAUVERIA BASSIANA 1.5 X 10 Exp. 9 CONIDIOS POR ML. DE PRODUCTO 3%
Glufosinato 50%,"",,,Glufosinato de Amonio 50g.L⁻¹
Climber 1000,"",,,Diclosulam 2.5g.L⁻¹ + Triclopir 67g.L⁻¹
Testemunha Capinada,"",,,
Delegate 1453/2019*,Espinetoram (250 g/Kg),"1453/2019","23/08/2022",Espinetoram (espinosinas) 250g/kg
Calaris,"",,,Mesotriona (Tricetona) 50g.L⁻¹ + atrazina (triazina) 500g.L⁻¹
Infinito*,"Cloridrato de Propamocarbe 625 g/L + Fluopicolida 62,5 g/L","2286/2020","08/12/2023",
Ridomil Gold MZ*,Metalaxil-M 40 g/kg + Mancozebe 640 g/kg,"2287/2020","08/12/2023",
Revus Opti*,Mandipropamida 40 g/L + Clorotalonil 400 g/L,"2289/2020","08/12/2023",
Totalit*,"Bentiavalicarbe Isopropílico 37,5 g/L + Clorotalonil 375 g/L","2291/2020","08/12/2023",
Dominum XT-S 299/2020*,GF-2969,"299/2020","27/01/2023",
Dominum XT 1382/2019*,GF-2954,"1382/2019","19/08/2022",
DMA 806 BR 1429/2019*,"2,4-D sal de dimetilamina (806 g/L) ","1429/2019 ","21/08/2022",
Dominum 1445/2019*,"Aminopiralide + Fluroxipir Meptílico (40 + 115,3 g/L) ","1445/2019","23/08/2022",
Plenum 1367/2019*,"Floroxipir-Meptílico + Picloram sal triisopropanilamina (115,3 + 143,4 g/L)","1367/2019","15/08/2022",
Padron 1364/2019*,Picloram Sal de Trietanolamina (388 g/L),"1364/2019","15/08/2022",
Garlon 1399/2019*,"Triclopir-Butotílico 667,0 g/L","1399/2019","20/08/2022",
Tordon Ultra-S 1401/2019*,GF-2678,"1401/2019","20/08/2022",
Disparo Ultra-S 2377/2019*,GF-2677,"2377/2019","30/12/2022",
Navius 114521*,GF-3963_R,"114521","15/06/2024",
Paxeo 123118*,GF-3220,"123118","04/12/2021",
Glizmax Prime 1438/2019*,GF-2018,"1438/2019 ","21/08/2022",
Atectra 1357/2019*,Dicamba (480 g/L) ,"1357/2019","14/08/2022",
Roundup Transborb R 1494/2019*,Glifosato Sal de Potássio (588 g/L) ,"1494/2019","29/08/2022",
Exor 227/2019*,Sulfoxaflor 240 g i.a./L - SC,"227/2019","12/02/2022",
Relicta 1753/2019*,GF-3206,"1753/2019","01/10/2022",
"2,4-D Sal de Trietanolamina + Picloram Sal de Trietanolamina (402 + 103,6 g/L)","","1477/2019","27/08/2022",
Tordon 1477/2019*,"2,4-D Sal de Trietanolamina + Picloram Sal de Trietanolamina (402 + 103,6 g/L)","1477/2019","27/08/2022",
Finale 1756/2019*,Glufosinato sal de amônio (200 g/L) ,"1756/2019","01/10/2022",
Heat 1405/2019*,Saflufenacil 700 g/kg ,"1405/2019","20/08/2022",
Tordon XT 1443/2019*,"Aminopiralide Sal de Triisopropalamina + 2,4‐D Sal de Triisopropalamina (76,9 + 596,9 g/L)","1443/2019","22/08/2022",
Clincher 1474/2019*,Cialofope-Butílico (180 g/L),"1474/2019","27/08/2022",cialofope-butílico (ácido ariloxifenoxipropiô 180g.L⁻¹
Truper 1391/2019*,"Fluroxipir-meptílico + Triclopir-butotílico (115,3 + 333,8 gl) ","1391/2019","20/08/2022",
Clorotalonil 720 232/2020*,Clorotalonil 720,"232/2020","21/01/2023",
Karate Zeon 50*,Lambda-Cialotrina 50 g/L - CS,"225/2019","12/02/2022",
Dontor 1442/2019*,"2,4-D sal de dimetilamina + Picloram sal de dimetilamina (433,7 + 26,7 g/L)","1442/2019","22/08/2022",
Togar TB 1480/2019*,"Picloram + Triclopir-Butotílico (43,94 + 83,53 g/L)","1480/2019","28/08/2022",
GF-3479*,GF-3479,"1751/2019","01/10/2022",
DPX-UBL47 340 SE*,DPX-UBL47 340 SE,"153416","30/04/2022",
Cercobion 500 SC 1743/2019*,Tiofanato-Metílico 500 g/L - SC,"1743/2019","30/09/2022",tiofanato-metílico  (benzimidazol (precursor  500g.L⁻¹
Starane 1400/2019*,"Fluroxipir-Meptilico (288,24 g/L)","1400/2019","20/08/2022",Fluroxipir-meptílico (ácido piridiniloxialcan 288.24g.L⁻¹
Ally 1412/2019*,Metsulfurom Metílico,"1412/2019","21/08/2022",metsulfurom-metílico (sulfoniluréia) 600g/kg
Zorvec Entido 102520*,DPX-UBL34 ,"102520","04/03/2023",Oxathiapiprolin 1.4% + dimetomorfe (morfolina) 28%
Maxsan,"",,,DINOTEFURAN 100g.L⁻¹ + PIRIPROXIFEN 25g.L⁻¹
Graminicida,"",,,
Sulfentrazone ou Amicarbazone,"",,,
Zorvec Encantia 102620*,DPX-TAH-88,"102620","04/03/2023",Oxathiapiprolin 3% + famoxadona (oxazolidinadiona) 30%
Rejuvra 104119*,DPX-RLC93,"104119","19/02/2025",
Omsugo P,"",,,
Curavial*,Sulfometuron Metílico (750 g/Kg),"1360/2019","15/08/2022",
Surfom,"",,,Organosilicones 1L/ha
Chemocide,Chemocide,,,"ADJUVANTE, ESPALHANTE ADESIVO 1L/ha"
"97Y97IPRO","",,,
"1-Genética e manejo Produtor (Padrão produtor)","",,,
"2-Genética Corteva e manejo Produtor","",,,
"3-Genética Produtor e manejo Corteva","",,,
"4-Genética Corteva e Manejo Corteva (Fazenda Corteva)","",,,
Controller NT WG,"",,,
Dual Gold*,S-Metacloro (960 g/L),"1434/2019","21/08/2022",metolacloro (cloroacetanilida) 960g.L⁻¹
NKF 42*,NKF 42,"713/2021","20/04/2024",
Kifix 1505/2019*,lmazapir 525 g/Kg + lmazapique 175 g/Kg,"1505/2019","30/08/2022",
Araddo,"",,,
Standak Top 2239/2020*,Piraclostrobina 25g/L + Tiofanato Metílico 225 g/L + Fipronil 250 g/L,"2239/2020","02/12/2023",
Lumitreo 1644/2021*,GF-4426-AGR,"1644/2021","16/08/2024",
Dermacor 1452/2019*,Clorantraniliprole (625 g/L),"1452/2019","23/08/2022",
Juvix 114721*,GF-4373_R,"114721","15/06/2024",
Rejuvra 114621*,GF-4244_R,"114621","16/05/2024",
Espelho,"",,,
Blavity,"",,,
Manejo Produtor,"",,,
Lumialza,"",,,
Utricha N,"",,,
Utrisha N,"",,,
NPK,"",,,
BMX Bonus IPRO,"",,,
"97Y97 IPRO","",,,
Chiave Sup ,,,,
Difcor 250 EC,,,,
Adubo Organomineral,"",,,
Tension 12-02-00,"",,,
Tension  12-02-00,"",,,
Intrepid Edge 1389/2019*,GF-3028,"1389/2019","20/08/2022",
Sal de cozinha,"",,,
Trivor,,,,
Engeo Pleno 197/2020*,"Tiametoxam 141g/L + LambdaCialotrina 106g/L + Nafta de Petróleo 72,76 g/L","197/2020","17/01/2023",
Sperto 2004/2021*,Bifentrina + Acetamiprido WG,"2004/2021","28/09/2024",
Herbicida,"",,,CLOMAZONA 500g.L⁻¹
Herbicida,"",,,CLOMAZONA 500g.L⁻¹
Upstage,"",,,clomazona (isoxazolidinona) 500g.L⁻¹
Revolux 1389/2019*,GF-3028,"1389/2019","20/08/2022",
Provence Total,"",,,isoxaflutol (isoxazol) 450g.L⁻¹ + indaziflam (não pertinente) 150g.L⁻¹
Oleo de Laranja,"",,,
Acadian ,"",,,
Dominum XT-S FE*,GF-2969 – Fe,"1247/2021","25/06/2024",
Banjo,,,,
Flumioxazina,,,,
Padrão ,,,,
Foltron,"",,,
Herbicida,"",,,
Aproach Power ,Picoxistrobina 90 g/L; Ciproconazol 40 g/L.,,,Picoxistrobina (estrobilurina) 90g.L⁻¹ + ciproconazol (triazol) 40g.L⁻¹
Armero,"",,,PROTIOCONAZOL 40g.L⁻¹ + mancozebe 500g.L⁻¹
Abamectin 72 Nortox,"",,,
Abamectin 72EC Nortox,"",,,ABAMECTINA 72g.L⁻¹
Exor 1322/2021*,Sulfoxaflor 240 g/L,"1322/2021","07/07/2024",
Tezpetix Beauve,"",,,
Tezpetix Beauve,"",,,
ENDIGO,"",,,
Thiametoxan+Lambdacyalotrina,"",,,
Revigo + Pasto,"",,,
Verter SC 1322/2021*,Sulfoxaflor 240 g/L,"1322/2021","07/07/2024",
Ranman,"",,,
Ampligo,"",,,
Clorfenapyr + Teflubenzurón,"",,,
Tordon Ultra-S,"",,,
Dominum XT,"",,,
Dominum XT-S,"",,,
Closer,"",,,Sulfoxaflor 240g/ha
POLO,"",,,diafentiurom (feniltiouréia) 500mg/L
Terbuthylazine,"",,,TERBUTHYLAZINE 50%
Convey,"",,,TOPRAMEZONE 33.6%
GF-2954*,GF-2954,"1382/2019","19/08/2022",Triclopir-butotílico (ácido piridiniloxialcan 288.62g.L⁻¹ + picloram (ácido piridiniloxialcanóico) 115.24g.L⁻¹ + Aminopiralide (ácido piridiniloxialcanóico) 59.17g.L⁻¹
GF-2954*,GF-2954,"859/2020","17/04/2023",Triclopir-butotílico (ácido piridiniloxialcan 288.62g.L⁻¹ + picloram (ácido piridiniloxialcanóico) 115.24g.L⁻¹ + Aminopiralide (ácido piridiniloxialcanóico) 59.17g.L⁻¹
Calipen,Calipen,,,MESOTRIONA 50g.L⁻¹ + ATRAZINA 500g.L⁻¹
Tiofanato CCAB 500 SC,"",,,tiofanato-metílico  (benzimidazol (precursor  500g.L⁻¹
Zaltus,"",,,Fluindapyr 10% + tetraconazol (triazol) 10%
Planity,"",,,Impirfluxam 6% + tebuconazol (triazol) 20%
Loyant 1753/2019*,GF-3206,"1753/2019","01/10/2022",Florpyrauxifen-benzyl 25g.L⁻¹
Fembuconazol,"",,,Fembuconazol 23.5%
Moximate,"",,,
Fosfito de Potassio,"",,,
Revus*,Mandipropamida 250 g/L,"2288/2020","08/12/2023",
Veltroma 50 ,"",,,
Herbicida,"",,,SAFLUFENACIL 70%
VELTROMA,"",,,SAFLUFENACIL 70%
Priori Top*,Azoxistrobina 200 g/L + Difenoconazol 125 g/L,"257/2020","23/01/2023",
Surfom,"",,,
Da Café Sul de Minas,"",,,
Notável BR,"",,,flutriafol (triazol) 125g.L⁻¹
OHKAMI 10 EW,"",,,
Manejo Produtor - Sergio Bedin,"",,,BACILLUS AMYLOLIQUEFACIENS AISLADO-SIMBI BS (CCT 7600) 5x10exp9 110g/kg
Hayate,"",,,
Dermacor 2522/2020*,Clorantraniliprole 625 g/L,,,
Vessarya,"",,,
Aproach Power + Mancozebe,"",,,
"Vessarya, Aproach Power + Mancozebe","",,,
"Vessarya, Aproach Power + Tiofanato metílico","",,,
"Aproach Power, Vessarya + Mancozebe","",,,
"Aproach Power, Vessarya + Tiofanato metílico","",,,
"Abacus HC, Orkestra + Tiofanato metílico","",,,
"Vessarya, Aproach Power + Mancozebe, Aproach Power","",,,
"Aproach Power, Vessarya + Mancozebe, Aproach Power","",,,
"Aproach Power, Vessarya + Tiofanato metílico, Aproach Power","",,,
"Priori Xtra, Orkestra + Tiofanato metílico, Priori Xtra","",,,
Herbicida,"",,,
Herbicida,"",,,
"Clopyralid 47,5","",,,
Lontrel,"",,,
Navius 103718*, DPX-Q2K13,"103718","15/08/2024",
Chiva ,,,,
